2019-09-16 15:12:41 status unpacked libss2:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:43 install findutils:amd64 <none> 4.6.0+git+20190209-2
2019-09-16 15:12:43 status half-installed findutils:amd64 4.6.0+git+20190209-2
2019-09-16 15:12:49 status unpacked findutils:amd64 4.6.0+git+20190209-2
2019-09-16 15:12:50 install gcc-8-base:amd64 <none> 8.3.0-6
2019-09-16 15:12:50 status half-installed gcc-8-base:amd64 8.3.0-6
2019-09-16 15:12:51 status unpacked gcc-8-base:amd64 8.3.0-6
2019-09-16 15:12:52 install libgcc1:amd64 <none> 1:8.3.0-6
2019-09-16 15:12:52 status half-installed libgcc1:amd64 1:8.3.0-6
2019-09-16 15:12:53 status unpacked libgcc1:amd64 1:8.3.0-6
2019-09-16 15:12:55 install libstdc++6:amd64 <none> 8.3.0-6
2019-09-16 15:12:55 status half-installed libstdc++6:amd64 8.3.0-6
2019-09-16 15:12:57 status unpacked libstdc++6:amd64 8.3.0-6
2019-09-16 15:12:58 install libc-bin:amd64 <none> 2.28-10
2019-09-16 15:12:58 status half-installed libc-bin:amd64 2.28-10
2019-09-16 15:13:04 status unpacked libc-bin:amd64 2.28-10
2019-09-16 15:13:06 upgrade libc6:amd64 2.28-10 2.28-10
2019-09-16 15:13:06 status half-configured libc6:amd64 2.28-10
2019-09-16 15:13:06 status unpacked libc6:amd64 2.28-10
2019-09-16 15:13:06 status half-installed libc6:amd64 2.28-10
2019-09-16 15:13:29 status unpacked libc6:amd64 2.28-10
2019-09-16 15:13:31 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2019-09-16 15:13:31 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2019-09-16 15:13:33 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2019-09-16 15:13:34 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2019-09-16 15:13:34 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2019-09-16 15:13:36 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2019-09-16 15:13:38 install libgnutls30:amd64 <none> 3.6.7-4
2019-09-16 15:13:38 status half-installed libgnutls30:amd64 3.6.7-4
2019-09-16 15:13:42 status unpacked libgnutls30:amd64 3.6.7-4
2019-09-16 15:13:43 install grep:amd64 <none> 3.3-1
2019-09-16 15:13:43 status half-installed grep:amd64 3.3-1
2019-09-16 15:13:49 status unpacked grep:amd64 3.3-1
2019-09-16 15:13:50 install gzip:amd64 <none> 1.9-3
2019-09-16 15:13:50 status half-installed gzip:amd64 1.9-3
2019-09-16 15:13:53 status unpacked gzip:amd64 1.9-3
2019-09-16 15:13:55 install hostname:amd64 <none> 3.21
2019-09-16 15:13:55 status half-installed hostname:amd64 3.21
2019-09-16 15:13:56 status unpacked hostname:amd64 3.21
2019-09-16 15:13:57 install init-system-helpers:all <none> 1.56+nmu1
2019-09-16 15:13:57 status half-installed init-system-helpers:all 1.56+nmu1
2019-09-16 15:14:00 status unpacked init-system-helpers:all 1.56+nmu1
2019-09-16 15:14:01 install libcap-ng0:amd64 <none> 0.7.9-2
2019-09-16 15:14:01 status half-installed libcap-ng0:amd64 0.7.9-2
2019-09-16 15:14:03 status unpacked libcap-ng0:amd64 0.7.9-2
2019-09-16 15:14:04 install libffi6:amd64 <none> 3.2.1-9
2019-09-16 15:14:04 status half-installed libffi6:amd64 3.2.1-9
2019-09-16 15:14:06 status unpacked libffi6:amd64 3.2.1-9
2019-09-16 15:14:07 install libgcrypt20:amd64 <none> 1.8.4-5
2019-09-16 15:14:07 status half-installed libgcrypt20:amd64 1.8.4-5
2019-09-16 15:14:10 status unpacked libgcrypt20:amd64 1.8.4-5
2019-09-16 15:14:12 install libgpg-error0:amd64 <none> 1.35-1
2019-09-16 15:14:12 status half-installed libgpg-error0:amd64 1.35-1
2019-09-16 15:14:14 status unpacked libgpg-error0:amd64 1.35-1
2019-09-16 15:14:16 install libidn2-0:amd64 <none> 2.0.5-1
2019-09-16 15:14:16 status half-installed libidn2-0:amd64 2.0.5-1
