2019-04-07 18:41:54 status unpacked libcomerr2:i386 1.43.4-2
2019-04-07 18:41:54 status unpacked libcomerr2:i386 1.43.4-2
2019-04-07 18:41:54 install libss2:i386 <none> 1.43.4-2
2019-04-07 18:41:54 status half-installed libss2:i386 1.43.4-2
2019-04-07 18:41:55 status unpacked libss2:i386 1.43.4-2
2019-04-07 18:41:55 status unpacked libss2:i386 1.43.4-2
2019-04-07 18:41:55 install findutils:i386 <none> 4.6.0+git+20161106-2
2019-04-07 18:41:55 status half-installed findutils:i386 4.6.0+git+20161106-2
2019-04-07 18:41:59 status unpacked findutils:i386 4.6.0+git+20161106-2
2019-04-07 18:42:00 status unpacked findutils:i386 4.6.0+git+20161106-2
2019-04-07 18:42:00 install gcc-6-base:i386 <none> 6.3.0-18+deb9u1
2019-04-07 18:42:00 status half-installed gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:42:01 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:42:02 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:42:03 install libgcc1:i386 <none> 1:6.3.0-18+deb9u1
2019-04-07 18:42:03 status half-installed libgcc1:i386 1:6.3.0-18+deb9u1
2019-04-07 18:42:04 status unpacked libgcc1:i386 1:6.3.0-18+deb9u1
2019-04-07 18:42:04 status unpacked libgcc1:i386 1:6.3.0-18+deb9u1
2019-04-07 18:42:04 install libc-bin:i386 <none> 2.24-11+deb9u4
2019-04-07 18:42:04 status half-installed libc-bin:i386 2.24-11+deb9u4
2019-04-07 18:42:07 status unpacked libc-bin:i386 2.24-11+deb9u4
2019-04-07 18:42:07 status unpacked libc-bin:i386 2.24-11+deb9u4
2019-04-07 18:42:08 upgrade libc6:i386 2.24-11+deb9u4 2.24-11+deb9u4
2019-04-07 18:42:08 status half-configured libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:08 status unpacked libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:08 status half-installed libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:25 status half-installed libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:26 status unpacked libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:26 status unpacked libc6:i386 2.24-11+deb9u4
2019-04-07 18:42:26 install multiarch-support:i386 <none> 2.24-11+deb9u4
2019-04-07 18:42:26 status half-installed multiarch-support:i386 2.24-11+deb9u4
2019-04-07 18:42:27 status unpacked multiarch-support:i386 2.24-11+deb9u4
2019-04-07 18:42:27 status unpacked multiarch-support:i386 2.24-11+deb9u4
2019-04-07 18:42:27 install grep:i386 <none> 2.27-2
2019-04-07 18:42:27 status half-installed grep:i386 2.27-2
2019-04-07 18:42:31 status unpacked grep:i386 2.27-2
2019-04-07 18:42:31 status unpacked grep:i386 2.27-2
2019-04-07 18:42:31 install gzip:i386 <none> 1.6-5+b1
2019-04-07 18:42:31 status half-installed gzip:i386 1.6-5+b1
